Brand,Product,Type,Price,Dry,Oily,Combination,Acne-prone,Sensitive
Tatcha,Dewy Skin Cream,Cream,$$$,TRUE,FALSE,FALSE,FALSE,TRUE
La Roche-Posay,Hydrating Gentle Cleanser,Cleanser,$,TRUE,FALSE,FALSE,TRUE,TRUE
Cerva,Hydrating Facial Cleanser,Cleanser,$,FALSE,FALSE,FALSE,FALSE,FALSE
Cerva,Daily Face Wash,Cleanser,$,FALSE,TRUE,TRUE,FALSE,FALSE
Ordinary,Makeup Removal,Cleanser,$,TRUE,FALSE,FALSE,FALSE,TRUE
Mixsoon,Cleansing Foam ,Cleanser,$,TRUE,TRUE,TRUE,TRUE,TRUE
Bioderma ,Sensitive cleanser ,Cleanser,$$,TRUE,TRUE,TRUE,TRUE,TRUE
Anua ,Pore Deep Cleasning Foam,Cleanser,$,FALSE,TRUE,FALSE,TRUE,TRUE
Medicube,Collegen Night Mask,Treatment,$$,FALSE,TRUE,TRUE,TRUE,TRUE
Dr. Jart+,Moisturizing Face Mask,Treatment,$,TRUE,FALSE,FALSE,FALSE,TRUE
Ordinary,Niacinamide 10% + Zinc 1%  Serum,Serum,$,FALSE,TRUE,FALSE,TRUE,FALSE
Kiehl's,Hydrating & Soothing Face Mask,Treatment,$$,TRUE,FALSE,FALSE,FALSE,FALSE
Anua,Azelaic Acid 10 Hyaluron Redness Soothing Serum,Serum,$,FALSE,FALSE,FALSE,TRUE,TRUE
Dr. Althea 345 Relief Cream,Relief Cream ,Cream,$,FALSE,TRUE,TRUE,TRUE,TRUE
Kiehl's,Alcohol-Free Toner,Toner,$$$,FALSE,TRUE,FALSE,TRUE,FALSE
Purito,Eye Cream For Brightening,Cream,$$,TRUE,FALSE,FALSE,FALSE,TRUE
,,,,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,FALSE,FALSE,FALSE,FALSE,FALSE
